title,url
desarrollador python- híbrido (h/m/x),https://www.infoempleo.com/ofertasdetrabajo/desarrollador-python-hibrido-hmx/barcelona/3116242/
desarrollador python,https://www.tecnoempleo.com/desarrollador-python-michael-page/gcp-terraform/rf-6cc1114f2244c34a3a47
data scientist python,https://www.tecnoempleo.com/data-scientist-python-serem/python/rf-e63f14be12ff43ab564f
senior data engineer / tech lead_python,https://www.tecnoempleo.com/senior-data-engineer-tech-lead-python-arelance/pyspark-sql/rf-ed0a1e7482adc31ef342
desarrollador/a full stack (vue +python),https://www.tecnoempleo.com/desarrollador-full-stack-vue-python-arelance/python/rf-c6b31689725ea3291c42
principal python engineer,https://www.tecnoempleo.com/principal-python-engineer-epam/react/rf-dea51ed2f20ca37d6a46
programador python / c#,https://www.tecnoempleo.com/programador-python-c-1mb-it-systems/sql-server-c/rf-d2521a51d27fc3b86d4c
developer python-react,https://www.tecnoempleo.com/developer-python-react-sg-tech/python/rf-6adc1b94322643bb294b
python automation & ai solutions,https://www.tecnoempleo.com/python-automation-ai-solutions-santander/rpa/rf-91a11a44829ea352b84e
